condition,day,bio_rep,tech_rep,progenitors,glial
DMSO,15,1,1,0.09278350515463918,0.0
DMSO,15,1,2,0.1,0.06
DMSO,15,1,3,0.14788732394366197,0.04225352112676056
DMSO,15,1,4,0.15315315315315314,0.02702702702702703
DMSO,15,1,5,0.06923076923076923,0.03076923076923077
DMSO,15,1,6,0.11347517730496454,0.02127659574468085
DMSO,15,1,7,0.045454545454545456,0.01818181818181818
DMSO,15,1,8,0.06818181818181818,0.028409090909090908
DMSO,15,1,9,0.03787878787878788,0.022727272727272728
DMSO,15,1,10,0.052980132450331126,0.026490066225165563
DMSO,15,1,11,0.0735930735930736,0.017316017316017316
DMSO,15,1,12,0.05263157894736842,0.008097165991902834
DMSO,15,1,13,0.058577405857740586,0.016736401673640166
DMSO,15,1,14,0.06422018348623854,0.045871559633027525
DMSO,15,1,15,0.11827956989247312,0.010752688172043012
DMSO,22,1,1,0.006329113924050633,0.0189873417721519
DMSO,22,1,2,0.1358695652173913,0.07065217391304347
DMSO,22,1,3,0.05223880597014925,0.048507462686567165
DMSO,22,1,4,0.12,0.02
DMSO,22,1,5,0.041176470588235294,0.047058823529411764
DMSO,22,1,6,0.1,0.08181818181818182
DMSO,22,1,7,0.14285714285714285,0.08571428571428572
DMSO,22,1,8,0.06716417910447761,0.1044776119402985
DMSO,22,1,9,0.06976744186046512,0.19767441860465115
DMSO,22,1,10,0.11320754716981132,0.14150943396226415
DMSO,22,1,11,0.13432835820895522,0.11940298507462686
DMSO,22,1,12,0.05029585798816568,0.03550295857988166
DMSO,22,1,13,0.021897810218978103,0.058394160583941604
DMSO,22,1,14,0.014150943396226415,0.0660377358490566
DMSO,22,1,15,0.14,0.05
DAPT,15,1,1,0.023668639053254437,0.07100591715976332
DAPT,15,1,2,0.06666666666666667,0.014285714285714285
DAPT,15,1,3,0.036585365853658534,0.0975609756097561
DAPT,15,1,4,0.015384615384615385,0.2
DAPT,15,1,5,0.025974025974025976,0.16883116883116883
DAPT,15,1,6,0.039603960396039604,0.13861386138613863
DAPT,15,1,7,0.018867924528301886,0.11320754716981132
DAPT,15,1,8,0.014492753623188406,0.024154589371980676
DAPT,15,1,9,0.026785714285714284,0.05357142857142857
DAPT,15,1,10,0.03007518796992481,0.045112781954887216
DAPT,15,1,11,0.058394160583941604,0.058394160583941604
DAPT,15,1,12,0.07246376811594203,0.050724637681159424
DAPT,15,1,13,0.01834862385321101,0.09174311926605505
DAPT,15,1,14,0.039473684210526314,0.046052631578947366
DAPT,15,1,15,0.041666666666666664,0.09166666666666666
DAPT,22,1,1,0.0,0.024096385542168676
DAPT,22,1,2,0.014285714285714285,0.047619047619047616
DAPT,22,1,3,0.04081632653061224,0.12244897959183673
DAPT,22,1,4,0.0,0.17708333333333334
DAPT,22,1,5,0.038461538461538464,0.08653846153846154
DAPT,22,1,6,0.125,0.03804347826086957
DAPT,22,1,7,0.1,0.225
DAPT,22,1,8,0.006944444444444444,0.027777777777777776
DAPT,22,1,9,0.009433962264150943,0.05660377358490566
DAPT,22,1,10,0.009433962264150943,0.0660377358490566
DAPT,22,1,11,0.00909090909090909,0.031818181818181815
DAPT,22,1,12,0.004273504273504274,0.0641025641025641
DAPT,22,1,13,0.009345794392523364,0.028037383177570093
DAPT,22,1,14,0.02,0.05
DAPT,22,1,15,0.015151515151515152,0.06060606060606061
DMSO,15,2,1,0.04672897196261682,0.0
DMSO,15,2,2,0.07446808510638298,0.031914893617021274
DMSO,15,2,3,0.05853658536585366,0.004878048780487805
DMSO,15,2,4,0.10497237569060773,0.0055248618784530384
DMSO,15,2,5,0.09693877551020408,0.01020408163265306
DMSO,15,2,6,0.06790123456790123,0.043209876543209874
DMSO,15,2,7,0.06584362139917696,0.0
DMSO,15,2,8,0.02631578947368421,0.008771929824561403
DMSO,15,2,9,0.036036036036036036,0.0
DMSO,15,2,10,0.06046511627906977,0.0
DMSO,15,2,11,0.06701030927835051,0.0
DMSO,15,2,12,0.06854838709677419,0.008064516129032258
DMSO,15,2,13,0.08900523560209424,0.005235602094240838
DMSO,15,2,14,0.08426966292134831,0.0
DMSO,15,2,15,0.0763888888888889,0.027777777777777776
DMSO,22,2,1,0.049019607843137254,0.049019607843137254
DMSO,22,2,2,0.01639344262295082,0.13114754098360656
DMSO,22,2,3,0.10309278350515463,0.020618556701030927
DMSO,22,2,4,0.03278688524590164,0.09836065573770492
DMSO,22,2,5,0.09836065573770492,0.06557377049180328
DMSO,22,2,6,0.049019607843137254,0.058823529411764705
DMSO,22,2,7,0.1016949152542373,0.1016949152542373
DMSO,22,2,8,0.022727272727272728,0.056818181818181816
DMSO,22,2,9,0.0,0.12941176470588237
DMSO,22,2,10,0.014492753623188406,0.07246376811594203
DMSO,22,2,11,0.06521739130434782,0.06521739130434782
DMSO,22,2,12,0.05405405405405406,0.08108108108108109
DMSO,22,2,13,0.020618556701030927,0.10309278350515463
DMSO,22,2,14,0.1,0.1
DMSO,22,2,15,0.05,0.1
DAPT,15,2,1,0.14545454545454545,0.024242424242424242
DAPT,15,2,2,0.1277533039647577,0.039647577092511016
DAPT,15,2,3,0.07042253521126761,0.08450704225352113
DAPT,15,2,4,0.06666666666666667,0.12
DAPT,15,2,5,0.09302325581395349,0.10465116279069768
DAPT,15,2,6,0.0684931506849315,0.0547945205479452
DAPT,15,2,7,0.11392405063291139,0.0379746835443038
DAPT,15,2,8,0.10869565217391304,0.05434782608695652
DAPT,15,2,9,0.04819277108433735,0.13253012048192772
DAPT,15,2,10,0.1323529411764706,0.04411764705882353
DAPT,15,2,11,0.09433962264150944,0.03773584905660377
DAPT,15,2,12,0.19672131147540983,0.08196721311475409
DAPT,15,2,13,0.10869565217391304,0.021739130434782608
DAPT,15,2,14,0.1643835616438356,0.0684931506849315
DAPT,15,2,15,0.0958904109589041,0.1095890410958904
DAPT,22,2,1,0.0707070707070707,0.09090909090909091
DAPT,22,2,2,0.0196078431372549,0.2549019607843137
DAPT,22,2,3,0.06040268456375839,0.08053691275167785
DAPT,22,2,4,0.07017543859649122,0.08771929824561403
DAPT,22,2,5,0.0392156862745098,0.21568627450980393
DAPT,22,2,6,0.04081632653061224,0.07142857142857142
DAPT,22,2,7,0.04310344827586207,0.14655172413793102
DAPT,22,2,8,0.11538461538461539,0.15384615384615385
DAPT,22,2,9,0.050505050505050504,0.1717171717171717
DAPT,22,2,10,0.03529411764705882,0.23529411764705882
DAPT,22,2,11,0.1016949152542373,0.15254237288135594
DAPT,22,2,12,0.0873015873015873,0.15873015873015872
DAPT,22,2,13,0.058823529411764705,0.058823529411764705
DAPT,22,2,14,0.11029411764705882,0.07352941176470588
DAPT,22,2,15,0.0196078431372549,0.12745098039215685
DMSO,15,3,1,0.10975609756097561,0.036585365853658534
DMSO,15,3,2,0.1564625850340136,0.04081632653061224
DMSO,15,3,3,0.11206896551724138,0.0603448275862069
DMSO,15,3,4,0.20915032679738563,0.0196078431372549
DMSO,15,3,5,0.21428571428571427,0.014285714285714285
DMSO,15,3,6,0.2446043165467626,0.0
DMSO,15,3,7,0.18461538461538463,0.023076923076923078
DMSO,15,3,8,0.12598425196850394,0.047244094488188976
DMSO,15,3,9,0.19491525423728814,0.03389830508474576
DMSO,15,3,10,0.08609271523178808,0.019867549668874173
DMSO,15,3,11,0.034482758620689655,0.08620689655172414
DMSO,15,3,12,0.07172995780590717,0.008438818565400843
DMSO,15,3,13,0.22448979591836735,0.04081632653061224
DMSO,15,3,14,0.1048951048951049,0.055944055944055944
DMSO,15,3,15,0.15555555555555556,0.08888888888888889
DMSO,22,3,1,0.16279069767441862,0.13953488372093023
DMSO,22,3,2,0.21153846153846154,0.1346153846153846
DMSO,22,3,3,0.0547945205479452,0.0958904109589041
