condition,day,bio_rep,tech_rep,neural
DAPT,22,1,14,0.6037735849056604
DAPT,22,1,15,0.1437908496732026
DMSO,15,2,1,0.051587301587301584
DMSO,15,2,2,0.35
DMSO,15,2,3,0.34545454545454546
DMSO,15,2,4,0.26506024096385544
DMSO,15,2,5,0.3103448275862069
DMSO,15,2,6,0.515625
DMSO,15,2,7,0.09271523178807947
DMSO,15,2,8,0.13541666666666666
DMSO,15,2,9,0.10674157303370786
DMSO,15,2,10,0.1694915254237288
DMSO,15,2,11,0.15648854961832062
DMSO,15,2,12,0.07407407407407407
DMSO,15,2,13,0.11504424778761062
DMSO,15,2,14,0.08333333333333333
DMSO,15,2,15,0.22959183673469388
DMSO,15,2,16,0.2570281124497992
DMSO,15,2,17,0.11574074074074074
DMSO,15,2,18,0.1711229946524064
DMSO,15,2,19,0.09895833333333333
DMSO,15,2,20,0.1565217391304348
DMSO,15,2,21,0.19607843137254902
DMSO,15,2,22,0.42105263157894735
DMSO,15,2,23,0.043689320388349516
DMSO,15,2,24,0.0364741641337386
DMSO,15,2,25,0.031413612565445025
DMSO,15,2,26,0.1390728476821192
DMSO,15,2,27,0.01871657754010695
DMSO,15,2,28,0.0169971671388102
DMSO,15,2,29,0.021897810218978103
DMSO,15,2,30,0.03864734299516908
DMSO,22,2,1,0.21212121212121213
DMSO,22,2,2,0.2222222222222222
DMSO,22,2,3,0.16666666666666666
DMSO,22,2,4,0.07407407407407407
DMSO,22,2,5,0.0547945205479452
DMSO,22,2,6,0.03571428571428571
DMSO,22,2,7,0.10606060606060606
DMSO,22,2,8,0.4745762711864407
DMSO,22,2,9,0.0847457627118644
DMSO,22,2,10,0.027777777777777776
DMSO,22,2,11,0.15584415584415584
DMSO,22,2,12,0.2830188679245283
DMSO,22,2,13,0.09210526315789473
DMSO,22,2,14,0.06818181818181818
DMSO,22,2,15,0.3548387096774194
DAPT,15,2,1,0.23668639053254437
DAPT,15,2,2,0.3212121212121212
DAPT,15,2,3,0.398876404494382
DAPT,15,2,4,0.2894736842105263
DAPT,15,2,5,0.366120218579235
DAPT,15,2,6,0.9315068493150684
DAPT,15,2,7,0.7912087912087912
DAPT,15,2,8,0.3037383177570093
DAPT,15,2,9,0.07792207792207792
DAPT,15,2,10,0.38095238095238093
DAPT,15,2,11,0.3418803418803419
DAPT,15,2,12,0.4778761061946903
DAPT,15,2,13,0.7419354838709677
DAPT,15,2,14,0.4251968503937008
DAPT,15,2,15,0.7246376811594203
DAPT,15,2,16,0.3791208791208791
DAPT,15,2,17,0.4171779141104294
DAPT,15,2,18,0.6701030927835051
DAPT,15,2,19,0.6808510638297872
DAPT,15,2,20,0.8
DAPT,15,2,21,0.452991452991453
DAPT,15,2,22,0.7637795275590551
DAPT,15,2,23,0.6024096385542169
DAPT,15,2,24,0.4939759036144578
DAPT,15,2,25,0.8723404255319149
DAPT,15,2,26,0.20945945945945946
DAPT,15,2,27,0.20765027322404372
DAPT,15,2,28,0.2926829268292683
DAPT,15,2,29,0.7731958762886598
DAPT,15,2,30,0.43209876543209874
DAPT,22,2,1,0.25196850393700787
DAPT,22,2,2,0.4666666666666667
DAPT,22,2,3,0.07246376811594203
DAPT,22,2,4,0.09782608695652174
DAPT,22,2,5,0.10975609756097561
DAPT,22,2,6,0.136
DAPT,22,2,7,0.07317073170731707
DAPT,22,2,8,0.23170731707317074
DAPT,22,2,9,0.43636363636363634
DAPT,22,2,10,0.24285714285714285
DAPT,22,2,11,0.27450980392156865
DAPT,22,2,12,0.449438202247191
DAPT,22,2,13,0.39814814814814814
DAPT,22,2,14,0.17
DAPT,22,2,15,0.056179775280898875
DMSO,15,3,1,0.08076923076923077
DMSO,15,3,2,0.3533834586466165
DMSO,15,3,3,0.4013605442176871
DMSO,15,3,4,0.18061674008810572
DMSO,15,3,5,0.24861878453038674
DMSO,15,3,6,0.1643192488262911
DMSO,15,3,7,0.09137055837563451
DMSO,15,3,8,0.06912442396313365
DMSO,15,3,9,0.10588235294117647
DMSO,15,3,10,0.07079646017699115
DMSO,15,3,11,0.09090909090909091
DMSO,15,3,12,0.11618257261410789
DMSO,15,3,13,0.13934426229508196
DMSO,15,3,14,0.12878787878787878
DMSO,15,3,15,0.20108695652173914
DMSO,15,3,16,0.09119496855345911
DMSO,15,3,17,0.18518518518518517
DMSO,15,3,18,0.21875
DMSO,15,3,19,0.25
DMSO,15,3,20,0.19696969696969696
DMSO,15,3,21,0.19285714285714287
DMSO,15,3,22,0.1557377049180328
DMSO,15,3,23,0.24271844660194175
DMSO,15,3,24,0.25
DMSO,15,3,25,0.25139664804469275
DMSO,15,3,26,0.21710526315789475
DMSO,15,3,27,0.2911392405063291
DMSO,15,3,28,0.42105263157894735
DMSO,15,3,29,0.4276729559748428
DMSO,15,3,30,0.24468085106382978
DMSO,22,3,1,0.205607476635514
