condition,day,bio_rep,tech_rep,total_cells,total_hucd,neurons_percentage,contaminants_percentage
dmso,22,2,3,84,14,16.66666667,83.33333333
dmso,22,2,4,81,6,7.407407407,92.59259259
dmso,22,2,5,73,4,5.479452055,94.52054795
dmso,22,2,6,56,2,3.571428571,96.42857143
dmso,22,2,7,66,7,10.60606061,89.39393939
dmso,22,2,8,59,28,47.45762712,52.54237288
dmso,22,2,9,59,5,8.474576271,91.52542373
dmso,22,2,10,72,2,2.777777778,97.22222222
dmso,22,2,11,77,12,15.58441558,84.41558442
dmso,22,2,12,53,15,28.30188679,71.69811321
dmso,22,2,13,76,7,9.210526316,90.78947368
dmso,22,2,14,88,6,6.818181818,93.18181818
dmso,22,2,15,31,11,35.48387097,64.51612903
dapt,15,2,1,169,40,23.66863905,76.33136095
dapt,15,2,2,165,53,32.12121212,67.87878788
dapt,15,2,3,178,71,39.88764045,60.11235955
dapt,15,2,4,190,55,28.94736842,71.05263158
dapt,15,2,5,183,67,36.61202186,63.38797814
dapt,15,2,6,146,136,93.15068493,6.849315068
dapt,15,2,7,91,72,79.12087912,20.87912088
dapt,15,2,8,214,65,30.37383178,69.62616822
dapt,15,2,9,77,6,7.792207792,92.20779221
dapt,15,2,10,105,40,38.0952381,61.9047619
dapt,15,2,11,117,40,34.18803419,65.81196581
dapt,15,2,12,113,54,47.78761062,52.21238938
dapt,15,2,13,93,69,74.19354839,25.80645161
dapt,15,2,14,127,54,42.51968504,57.48031496
dapt,15,2,15,69,50,72.46376812,27.53623188
dapt,15,2,16,182,69,37.91208791,62.08791209
dapt,15,2,17,163,68,41.71779141,58.28220859
dapt,15,2,18,97,65,67.01030928,32.98969072
dapt,15,2,19,94,64,68.08510638,31.91489362
dapt,15,2,20,85,68,80,20
dapt,15,2,21,234,106,45.2991453,54.7008547
dapt,15,2,22,127,97,76.37795276,23.62204724
dapt,15,2,23,83,50,60.24096386,39.75903614
dapt,15,2,24,166,82,49.39759036,50.60240964
dapt,15,2,25,141,123,87.23404255,12.76595745
dapt,15,2,26,148,31,20.94594595,79.05405405
dapt,15,2,27,183,38,20.76502732,79.23497268
dapt,15,2,28,246,72,29.26829268,70.73170732
dapt,15,2,29,194,150,77.31958763,22.68041237
dapt,15,2,30,162,70,43.20987654,56.79012346
dapt,22,2,1,127,32,25.19685039,74.80314961
dapt,22,2,2,45,21,46.66666667,53.33333333
dapt,22,2,3,138,10,7.246376812,92.75362319
dapt,22,2,4,92,9,9.782608696,90.2173913
dapt,22,2,5,164,18,10.97560976,89.02439024
dapt,22,2,6,125,17,13.6,86.4
dapt,22,2,7,164,12,7.317073171,92.68292683
dapt,22,2,8,82,19,23.17073171,76.82926829
dapt,22,2,9,110,48,43.63636364,56.36363636
dapt,22,2,10,70,17,24.28571429,75.71428571
dapt,22,2,11,51,14,27.45098039,72.54901961
dapt,22,2,12,89,40,44.94382022,55.05617978
dapt,22,2,13,108,43,39.81481481,60.18518519
dapt,22,2,14,100,17,17,83
dapt,22,2,15,89,5,5.617977528,94.38202247
dmso,15,3,1,260,21,8.076923077,91.92307692
dmso,15,3,2,133,47,35.33834586,64.66165414
dmso,15,3,3,147,59,40.13605442,59.86394558
dmso,15,3,4,227,41,18.06167401,81.93832599
dmso,15,3,5,181,45,24.86187845,75.13812155
dmso,15,3,6,213,35,16.43192488,83.56807512
dmso,15,3,7,197,18,9.137055838,90.86294416
dmso,15,3,8,217,15,6.912442396,93.0875576
dmso,15,3,9,170,18,10.58823529,89.41176471
dmso,15,3,10,113,8,7.079646018,92.92035398
dmso,15,3,11,143,13,9.090909091,90.90909091
dmso,15,3,12,241,28,11.61825726,88.38174274
dmso,15,3,13,122,17,13.93442623,86.06557377
dmso,15,3,14,132,17,12.87878788,87.12121212
dmso,15,3,15,184,37,20.10869565,79.89130435
dmso,15,3,16,318,29,9.119496855,90.88050314
dmso,15,3,17,189,35,18.51851852,81.48148148
dmso,15,3,18,128,28,21.875,78.125
dmso,15,3,19,148,37,25,75
dmso,15,3,20,132,26,19.6969697,80.3030303
dmso,15,3,21,140,27,19.28571429,80.71428571
dmso,15,3,22,122,19,15.57377049,84.42622951
dmso,15,3,23,206,50,24.27184466,75.72815534
dmso,15,3,24,188,47,25,75
dmso,15,3,25,179,45,25.1396648,74.8603352
dmso,15,3,26,152,33,21.71052632,78.28947368
dmso,15,3,27,158,46,29.11392405,70.88607595
dmso,15,3,28,152,64,42.10526316,57.89473684
dmso,15,3,29,159,68,42.7672956,57.2327044
dmso,15,3,30,188,46,24.46808511,75.53191489
dmso,22,3,1,107,22,20.56074766,79.43925234
dmso,22,3,2,68,27,39.70588235,60.29411765
dmso,22,3,3,93,37,39.78494624,60.21505376
dmso,22,3,4,113,21,18.5840708,81.4159292
dmso,22,3,5,63,27,42.85714286,57.14285714
dmso,22,3,6,74,41,55.40540541,44.59459459
dmso,22,3,7,137,6,4.379562044,95.62043796
dmso,22,3,8,78,18,23.07692308,76.92307692
dmso,22,3,9,121,26,21.48760331,78.51239669
dmso,22,3,10,119,16,13.44537815,86.55462185
dmso,22,3,11,91,11,12.08791209,87.91208791
dmso,22,3,12,68,22,32.35294118,67.64705882
dmso,22,3,13,72,11,15.27777778,84.72222222
dmso,22,3,14,87,26,29.88505747,70.11494253
dmso,22,3,15,69,16,23.1884058,76.8115942
dapt,15,3,1,226,121,53.53982301,46.46017699
dapt,15,3,2,219,33,15.06849315,84.93150685
dapt,15,3,3,187,61,32.62032086,67.37967914
dapt,15,3,4,191,54,28.27225131,71.72774869
dapt,15,3,5,203,82,40.39408867,59.60591133
dapt,15,3,6,162,38,23.45679012,76.54320988
dapt,15,3,7,173,43,24.85549133,75.14450867
dapt,15,3,8,185,37,20,80
dapt,15,3,9,266,104,39.09774436,60.90225564
dapt,15,3,10,230,65,28.26086957,71.73913043
dapt,15,3,11,240,34,14.16666667,85.83333333
dapt,15,3,12,168,34,20.23809524,79.76190476
dapt,15,3,13,226,69,30.53097345,69.46902655
dapt,15,3,14,194,104,53.60824742,46.39175258
dapt,15,3,15,169,95,56.21301775,43.78698225
dapt,15,3,16,206,62,30.09708738,69.90291262
dapt,15,3,17,159,38,23.89937107,76.10062893
dapt,15,3,18,152,32,21.05263158,78.94736842
dapt,15,3,19,107,10,9.345794393,90.65420561
dapt,15,3,20,166,36,21.68674699,78.31325301
dapt,15,3,21,205,48,23.41463415,76.58536585
dapt,15,3,22,180,46,25.55555556,74.44444444
dapt,15,3,23,191,37,19.37172775,80.62827225
dapt,15,3,24,125,96,76.8,23.2
dapt,15,3,25,181,81,44.75138122,55.24861878
dapt,15,3,26,233,69,29.61373391,70.38626609
dapt,15,3,27,206,64,31.06796117,68.93203883
dapt,15,3,28,190,74,38.94736842,61.05263158
