condition,day,bio_rep,tech_rep,total_cells,total_sox10,total_s100b,sox10-s100b,progenitors_percentage,glia_percentage,contaminants_percentage
dapt,15,2,1,165,28,4,24,14.54545455,2.424242424,83.03030303
dapt,15,2,2,227,38,9,29,12.7753304,3.964757709,83.25991189
dapt,15,2,3,71,11,6,5,7.042253521,8.450704225,84.50704225
dapt,15,2,4,75,14,9,5,6.666666667,12,81.33333333
dapt,15,2,5,86,17,9,8,9.302325581,10.46511628,80.23255814
dapt,15,2,6,73,9,4,5,6.849315068,5.479452055,87.67123288
dapt,15,2,7,79,12,3,9,11.39240506,3.797468354,84.81012658
dapt,15,2,8,92,15,5,10,10.86956522,5.434782609,83.69565217
dapt,15,2,9,83,15,11,4,4.819277108,13.25301205,81.92771084
dapt,15,2,10,68,12,3,9,13.23529412,4.411764706,82.35294118
dapt,15,2,11,53,7,2,5,9.433962264,3.773584906,86.79245283
dapt,15,2,12,61,17,5,12,19.67213115,8.196721311,72.13114754
dapt,15,2,13,92,12,2,10,10.86956522,2.173913043,86.95652174
dapt,15,2,14,73,17,5,12,16.43835616,6.849315068,76.71232877
dapt,15,2,15,73,15,8,7,9.589041096,10.95890411,79.45205479
dapt,22,2,1,99,16,9,7,7.070707071,9.090909091,83.83838384
dapt,22,2,2,51,14,13,1,1.960784314,25.49019608,72.54901961
dapt,22,2,3,149,21,12,9,6.040268456,8.053691275,85.90604027
dapt,22,2,4,114,18,10,8,7.01754386,8.771929825,84.21052632
dapt,22,2,5,102,26,22,4,3.921568627,21.56862745,74.50980392
dapt,22,2,6,196,22,14,8,4.081632653,7.142857143,88.7755102
dapt,22,2,7,116,22,17,5,4.310344828,14.65517241,81.03448276
dapt,22,2,8,78,21,12,9,11.53846154,15.38461538,73.07692308
dapt,22,2,9,99,22,17,5,5.050505051,17.17171717,77.77777778
dapt,22,2,10,85,23,20,3,3.529411765,23.52941176,72.94117647
dapt,22,2,11,118,30,18,12,10.16949153,15.25423729,74.57627119
dapt,22,2,12,126,31,20,11,8.73015873,15.87301587,75.3968254
dapt,22,2,13,136,16,8,8,5.882352941,5.882352941,88.23529412
dapt,22,2,14,136,25,10,15,11.02941176,7.352941176,81.61764706
dapt,22,2,15,102,15,13,2,1.960784314,12.74509804,85.29411765
dmso,15,3,1,164,24,6,18,10.97560976,3.658536585,85.36585366
dmso,15,3,2,147,29,6,23,15.6462585,4.081632653,80.27210884
dmso,15,3,3,116,20,7,13,11.20689655,6.034482759,82.75862069
dmso,15,3,4,153,35,3,32,20.91503268,1.960784314,77.12418301
dmso,15,3,5,140,32,2,30,21.42857143,1.428571429,77.14285714
dmso,15,3,6,139,34,0,34,24.46043165,0,75.53956835
dmso,15,3,7,130,27,3,24,18.46153846,2.307692308,79.23076923
dmso,15,3,8,127,22,6,16,12.5984252,4.724409449,82.67716535
dmso,15,3,9,118,27,4,23,19.49152542,3.389830508,77.11864407
dmso,15,3,10,151,16,3,13,8.609271523,1.986754967,89.40397351
dmso,15,3,11,116,14,10,4,3.448275862,8.620689655,87.93103448
dmso,15,3,12,237,19,2,17,7.172995781,0.843881857,91.98312236
dmso,15,3,13,147,39,6,33,22.44897959,4.081632653,73.46938776
dmso,15,3,14,143,23,8,15,10.48951049,5.594405594,83.91608392
dmso,15,3,15,135,33,12,21,15.55555556,8.888888889,75.55555556
dmso,22,3,1,43,13,6,7,16.27906977,13.95348837,69.76744186
dmso,22,3,2,52,18,7,11,21.15384615,13.46153846,65.38461538
dmso,22,3,3,73,11,7,4,5.479452055,9.589041096,84.93150685
dmso,22,3,4,122,9,6,3,2.459016393,4.918032787,92.62295082
dmso,22,3,5,87,14,4,10,11.49425287,4.597701149,83.90804598
dmso,22,3,6,89,10,6,4,4.494382022,6.741573034,88.76404494
dmso,22,3,7,104,14,4,10,9.615384615,3.846153846,86.53846154
dmso,22,3,8,53,17,10,7,13.20754717,18.86792453,67.9245283
dmso,22,3,9,161,18,3,15,9.316770186,1.863354037,88.81987578
dmso,22,3,10,58,11,8,3,5.172413793,13.79310345,81.03448276
dmso,22,3,11,50,11,5,6,12,10,78
dmso,22,3,12,97,14,9,5,5.154639175,9.278350515,85.56701031
dmso,22,3,13,100,10,4,6,6,4,90
dmso,22,3,14,53,13,8,5,9.433962264,15.09433962,75.47169811
dmso,22,3,15,100,19,5,14,14,5,81
dapt,15,3,1,108,43,36,7,6.481481481,33.33333333,60.18518519
dapt,15,3,2,203,56,10,46,22.66009852,4.926108374,72.4137931
dapt,15,3,3,141,48,11,37,26.24113475,7.80141844,65.95744681
dapt,15,3,4,157,49,9,40,25.47770701,5.732484076,68.78980892
dapt,15,3,5,106,30,27,3,2.830188679,25.47169811,71.69811321
dapt,15,3,6,71,22,14,8,11.26760563,19.71830986,69.01408451
dapt,15,3,7,53,18,15,3,5.660377358,28.30188679,66.03773585
dapt,15,3,8,100,42,11,31,31,11,58
dapt,15,3,9,80,34,20,14,17.5,25,57.5
dapt,15,3,10,105,47,21,26,24.76190476,20,55.23809524
dapt,15,3,11,155,25,16,9,5.806451613,10.32258065,83.87096774
dapt,15,3,12,111,34,28,6,5.405405405,25.22522523,69.36936937
dapt,15,3,13,75,14,12,2,2.666666667,16,81.33333333
dapt,15,3,14,77,20,16,4,5.194805195,20.77922078,74.02597403
dapt,15,3,15,95,23,18,5,5.263157895,18.94736842,75.78947368
dapt,22,3,1,86,22,11,11,12.79069767,12.79069767,74.41860465
dapt,22,3,2,71,26,12,14,19.71830986,16.90140845,63.38028169
dapt,22,3,3,37,17,11,6,16.21621622,29.72972973,54.05405405
dapt,22,3,4,35,15,12,3,8.571428571,34.28571429,57.14285714
dapt,22,3,5,25,18,14,4,16,56,28
dapt,22,3,6,25,16,12,4,16,48,36
dapt,22,3,7,78,22,9,13,16.66666667,11.53846154,71.79487179
dapt,22,3,8,82,19,12,7,8.536585366,14.63414634,76.82926829
dapt,22,3,9,79,30,21,9,11.39240506,26.58227848,62.02531646
dapt,22,3,10,89,23,8,15,16.85393258,8.988764045,74.15730337
dapt,22,3,11,100,25,10,15,15,10,75
dapt,22,3,12,87,19,6,13,14.94252874,6.896551724,78.16091954
dapt,22,3,13,79,20,5,15,18.98734177,6.329113924,74.6835443
dapt,22,3,14,73,16,7,9,12.32876712,9.589041096,78.08219178
dapt,22,3,15,88,21,6,15,17.04545455,6.818181818,76.13636364
dmso,15,4,1,113,26,9,17,15.04424779,7.96460177,76.99115044
dmso,15,4,2,129,38,9,29,22.48062016,6.976744186,70.54263566
dmso,15,4,3,104,21,11,10,9.615384615,10.57692308,79.80769231
dmso,15,4,4,135,48,12,36,26.66666667,8.888888889,64.44444444
dmso,15,4,5,169,26,12,14,8.284023669,7.100591716,84.61538462
dmso,15,4,6,76,7,4,3,3.947368421,5.263157895,90.78947368
dmso,15,4,7,190,17,12,5,2.631578947,6.315789474,91.05263158
dmso,15,4,8,220,22,7,15,6.818181818,3.181818182,90
dmso,15,4,9,159,9,3,6,3.773584906,1.886792453,94.33962264
dmso,15,4,10,145,16,3,13,8.965517241,2.068965517,88.96551724
dmso,15,4,11,204,16,4,12,5.882352941,1.960784314,92.15686275
dmso,15,4,12,107,23,8,15,14.01869159,7.476635514,78.5046729
dmso,15,4,13,166,21,7,14,8.43373494,4.21686747,87.34939759
dmso,15,4,14,221,42,9,33,14.9321267,4.07239819,80.99547511
dmso,15,4,15,134,44,12,32,23.88059701,8.955223881,67.1641791
dmso,22,4,1,95,11,7,4,4.210526316,7.368421053,88.42105263
dmso,22,4,2,121,22,14,8,6.611570248,11.57024793,81.81818182
dmso,22,4,3,152,15,6,9,5.921052632,3.947368421,90.13157895
dmso,22,4,4,171,18,8,10,5.847953216,4.678362573,89.47368421
dmso,22,4,5,197,15,6,9,4.568527919,3.045685279,92.3857868
dmso,22,4,6,75,34,16,18,24,21.33333333,54.66666667
dmso,22,4,7,88,36,24,12,13.63636364,27.27272727,59.09090909
dmso,22,4,8,64,22,18,4,6.25,28.125,65.625
dmso,22,4,9,110,18,12,6,5.454545455,10.90909091,83.63636364
dmso,22,4,10,117,14,8,6,5.128205128,6.837606838,88.03418803
dapt,15,4,1,96,24,17,7,7.291666667,17.70833333,75
dapt,15,4,2,64,18,13,5,7.8125,20.3125,71.875
dapt,15,4,3,77,23,13,10,12.98701299,16.88311688,70.12987013
dapt,15,4,4,91,24,15,9,9.89010989,16.48351648,73.62637363
dapt,15,4,5,94,27,16,11,11.70212766,17.0212766,71.27659574
dapt,15,4,6,132,14,8,6,4.545454545,6.060606061,89.39393939
dapt,15,4,7,112,25,5,20,17.85714286,4.464285714,77.67857143
dapt,15,4,8,87,15,10,5,5.747126437,11.49425287,82.75862069
dapt,15,4,9,88,10,9,1,1.136363636,10.22727273,88.63636364
dapt,15,4,10,67,25,20,5,7.462686567,29.85074627,62.68656716
dapt,15,4,11,100,34,20,14,14,20,66
dapt,15,4,12,145,28,7,21,14.48275862,4.827586207,80.68965517
dapt,15,4,13,154,32,8,24,15.58441558,5.194805195,79.22077922
dapt,15,4,14,96,32,17,15,15.625,17.70833333,66.66666667
dapt,15,4,15,82,20,14,6,7.317073171,17.07317073,75.6097561
dapt,22,4,1,58,25,19,6,10.34482759,32.75862069,56.89655172
dapt,22,4,2,204,17,12,5,2.450980392,5.882352941,91.66666667
dapt,22,4,3,43,13,12,1,2.325581395,27.90697674,69.76744186
dapt,22,4,4,117,18,12,6,5.128205128,10.25641026,84.61538462
dapt,22,4,5,180,34,13,21,11.66666667,7.222222222,81.11111111
dapt,22,4,6,149,28,20,8,5.369127517,13.42281879,81.20805369
dapt,22,4,7,115,29,24,5,4.347826087,20.86956522,74.7826087
dapt,22,4,8,57,21,19,2,3.50877193,33.33333333,63.15789474
dapt,22,4,9,31,20,19,1,3.225806452,61.29032258,35.48387097
dapt,22,4,10,33,20,14,6,18.18181818,42.42424242,39.39393939
dapt,22,4,11,40,24,21,3,7.5,52.5,40
dapt,22,4,12,32,21,19,2,6.25,59.375,34.375
dapt,22,4,13,27,17,14,3,11.11111111,51.85185185,37.03703704
dapt,22,4,14,67,33,27,6,8.955223881,40.29850746,50.74626866
dapt,22,4,15,49,28,24,4,8.163265306,48.97959184,42.85714286
dmso,15,5,1,225,17,5,12,5.333333333,2.222222222,92.44444444
dmso,15,5,2,206,30,9,21,10.19417476,4.368932039,85.4368932
dmso,15,5,3,206,19,11,8,3.883495146,5.339805825,90.77669903
dmso,15,5,4,265,35,9,26,9.811320755,3.396226415,86.79245283
dmso,15,5,5,233,44,7,37,15.87982833,3.004291845,81.11587983
dmso,15,5,6,232,32,10,22,9.482758621,4.310344828,86.20689655
dmso,15,5,7,206,17,8,9,4.368932039,3.883495146,91.74757282
dmso,15,5,8,251,12,7,5,1.992031873,2.788844622,95.21912351
dmso,15,5,9,184,14,11,3,1.630434783,5.97826087,92.39130435
dmso,15,5,10,226,65,10,55,24.33628319,4.424778761,71.23893805
dapt,15,5,1,251,32,20,12,4.780876494,7.96812749,87.25099602
dapt,15,5,2,112,20,18,2,1.785714286,16.07142857,82.14285714
dapt,15,5,3,146,34,31,3,2.054794521,21.23287671,76.71232877
dapt,15,5,4,156,24,15,9,5.769230769,9.615384615,84.61538462
dapt,15,5,5,119,21,19,2,1.680672269,15.96638655,82.35294118
dapt,15,5,6,102,20,17,3,2.941176471,16.66666667,80.39215686
dapt,15,5,7,112,17,12,5,4.464285714,10.71428571,84.82142857
dapt,15,5,8,152,23,13,10,6.578947368,8.552631579,84.86842105
dapt,15,5,9,186,25,14,11,5.913978495,7.52688172,86.55913978
dapt,15,5,10,123,25,14,11,8.943089431,11.38211382,79.67479675
dapt,15,5,11,152,32,24,8,5.263157895,15.78947368,78.94736842
dapt,15,5,12,166,27,12,15,9.036144578,7.228915663,83.73493976
dapt,15,5,13,137,53,46,7,5.109489051,33.57664234,61.31386861
dapt,15,5,14,131,53,45,8,6.106870229,34.35114504,59.54198473
dapt,15,5,15,139,37,25,12,8.633093525,17.98561151,73.38129496
dmso,22,5,1,52,12,12,0,0,23.07692308,76.92307692
dmso,22,5,2,68,10,10,0,0,14.70588235,85.29411765
dmso,22,5,3,134,7,7,0,0,5.223880597,94.7761194
dmso,22,5,4,46,7,7,0,0,15.2173913,84.7826087
dmso,22,5,5,42,12,10,2,4.761904762,23.80952381,71.42857143
dmso,22,5,6,57,10,8,2,3.50877193,14.03508772,82.45614035
dmso,22,5,7,47,10,9,1,2.127659574,19.14893617,78.72340426
dmso,22,5,8,51,9,8,1,1.960784314,15.68627451,82.35294118
dmso,22,5,9,59,6,5,1,1.694915254,8.474576271,89.83050847
dmso,22,5,10,33,4,4,0,0,12.12121212,87.87878788
dmso,22,5,11,80,11,7,4,5,8.75,86.25
dmso,22,5,12,38,6,6,0,0,15.78947368,84.21052632
dmso,22,5,13,131,19,7,12,9.160305344,5.34351145,85.49618321
dmso,22,5,14,74,10,9,1,1.351351351,12.16216216,86.48648649
dmso,22,5,15,71,8,8,0,0,11.26760563,88.73239437
dapt,22,5,1,63,13,12,1,1.587301587,19.04761905,79.36507937
dapt,22,5,2,114,13,8,5,4.385964912,7.01754386,88.59649123
dapt,22,5,3,25,12,9,3,12,36,52
dapt,22,5,4,61,22,20,2,3.278688525,32.78688525,63.93442623
dapt,22,5,5,68,14,13,1,1.470588235,19.11764706,79.41176471
dapt,22,5,6,51,16,14,2,3.921568627,27.45098039,68.62745098
dapt,22,5,7,42,17,17,0,0,40.47619048,59.52380952
dapt,22,5,8,93,17,17,0,0,18.27956989,81.72043011
dapt,22,5,9,108,13,12,1,0.925925926,11.11111111,87.96296296
dapt,22,5,10,75,35,32,3,4,42.66666667,53.33333333
dapt,22,5,11,109,15,14,1,0.917431193,12.8440367,86.23853211
dapt,22,5,12,85,13,12,1,1.176470588,14.11764706,84.70588235
dapt,22,5,13,86,16,14,2,2.325581395,16.27906977,81.39534884
dapt,22,5,14,89,29,25,4,4.494382022,28.08988764,67.41573034
dapt,22,5,15,115,21,19,2,1.739130435,16.52173913,81.73913043
